	Afghanistan	Albania	Algeria	Angola	Antigua and Barbuda	Argentina	Armenia	Aruba	Australia	Austria	Azerbaijan	Bahamas	Bahrain	Bangladesh	Barbados	Belarus	Belgium	Benin	Bermuda	Bhutan	Bolivia	Bosnia and Herzegovina	Botswana	Brazil	British Virgin Islands	Brunei Darussalam	Bulgaria	Burkina Faso	Burundi	Cabo Verde	Cambodia	Cameroon	Canada	Cayman Islands	Central African Republic	Chad	Chile	China	Colombia	Comoros	Congo	Congo, Democratic Republic of	Costa Rica	Côte d'Ivoire	Croatia	Cuba	Cyprus	Czech Republic	Denmark	Djibouti	Dominica	Dominican Republic	Ecuador	Egypt	El Salvador	Equatorial Guinea	Eritrea	Estonia	Ethiopia	Fiji	Finland	France	French Guiana	French Polynesia	Gabon	Gambia	Georgia	Germany	Ghana	Greece	Grenada	Guadeloupe	Guatemala	Guinea	Guinea-Bissau	Guyana	Haiti	Honduras	Hungary	India	Indonesia	Iran, Islamic Republic of	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kazakhstan	Kenya	Korea, Democratic People's Republic of	Korea, Republic of	Kuwait	Kyrgyzstan	Lao People's Democratic Republic	Latvia	Lebanon	Lesotho	Liberia	Libyan Arab Jamahiriya	Lithuania	Luxembourg	Macedonia TFYR	Madagascar	Malawi	Malaysia	Mali	Martinique	Mauritania	Mauritius	Mexico	Moldova	Mongolia	Montenegro	Montserrat	Morocco	Mozambique	Myanmar	Namibia	Nauru	Nepal	Netherlands	New Caledonia	New Zealand	Nicaragua	Niger	Nigeria	Norway	Oman	Pakistan	Panama	Papua New Guinea	Paraguay	Peru	Philippines	Poland	Portugal	Qatar	Réunion	Romania	Russian Federation	Rwanda	Saint Kitts and Nevis	Saint Lucia	Saint Vincent and Grenadines	Samoa	Sao Tome and Principe	Saudi Arabia	Senegal	Serbia	Sierra Leone	Singapore	Slovakia	Slovenia	Solomon Islands	Somalia	South Africa	Spain	Sri Lanka	Suriname	Swaziland	Sweden	Switzerland	Syrian Arab Republic	Tajikistan	Tanzania, United Republic of	Thailand	Timor-Leste	Togo	Tonga	Trinidad and Tobago	Tunisia	Turkey	Turkmenistan	Uganda	Ukraine	United Kingdom	United Arab Emirates	United States of America	Uruguay	Uzbekistan	Venezuela, Bolivarian Republic of	Viet Nam	Wallis and Futuna Islands	Yemen	Zambia	Zimbabwe
1.Cropland Footprint	0.3	0.78	0.6	0.33	NA	0.78	0.74	NA	2.68	0.82	0.66	0.97	0.52	0.29	0.56	1.32	1.15	0.49	NA	0.5	0.37	0.63	0.3	0.62	NA	0.31	0.6	0.47	0.21	NA	NA	0.54	1.46	0.36	0.3	0.36	0.61	0.55	0.35	0.33	0.22	0.15	0.4	0.51	0.74	0.48	0.77	0.62	1.18	NA	0.64	0.35	0.3	0.68	0.44	0.27	0.1	NA	0.31	0.55	NA	1.23	0.07	0.75	0.53	0.46	0.39	1.1	0.56	1.07	NA	0.11	0.37	0.39	0.35	0.7	0.27	0.28	0.42	0.34	0.44	0.69	0.43	1.08	0.89	0.91	0.41	0.53	0.54	0.58	0.25	0.28	0.71	0.55	0.59	0.57	2.28	0.67	0.22	0.23	0.79	1.89	1.1	0.62	0.27	0.43	0.67	0.52	0.13	0.39	0.52	0.55	0.43	0.29	0.64	NA	0.6	0.31	0.8	0.33	NA	0.43	0.76	0.68	0.63	0.34	0.67	0.53	NA	0.57	0.27	0.36	0.3	1.11	0.5	0.36	0.84	1.03	0.57	0.14	0.72	0.77	0.43	0.51	0.38	NA	0.97	0.36	0.74	0.34	0.49	0.47	0.67	0.31	0.64	0.47	0.16	0.44	0.78	0.31	0.43	0.35	1.47	0.75	0.52	0.46	0.44	0.67	0.25	0.34	1.19	0.46	0.76	0.87	0.73	0.34	0.62	0.82	0.8	1.13	0.19	0.62	0.45	0.5	NA	0.34	0.19	0.2
2.Grazing Footprint	0.2	0.22	0.16	0.15	NA	0.79	0.18	NA	0.63	0.27	0.22	1.05	0.45	0	0.24	0.12	0.48	0.04	NA	0.42	1.69	0.27	0.89	0.85	NA	0.13	0.13	0.17	0.07	NA	NA	0.1	0.33	0.45	0.55	0.75	0.33	0.13	0.58	0.03	0.09	0.01	0.21	0.06	0.13	0.11	0.08	0.24	0.47	NA	0.15	0.12	0.3	0.08	0.21	0.02	0.18	NA	0.12	0.2	NA	0.27	0.06	0.65	0.13	0.05	0.2	0.14	0.07	0.35	NA	0.03	0.16	0.32	0.36	0.22	0.04	0.25	0.08	0.01	0.03	0.09	0.03	0.49	0.22	0.32	0.09	0.1	0.18	0.19	0.23	0	0.12	0.24	0.18	0.08	0.09	0.3	0.49	0.03	0.32	0.21	0.76	0.21	0.34	0.05	0.12	0.66	0.02	1.2	0.22	0.24	0.08	3.47	0.33	NA	0.17	0.03	0.01	0.23	NA	0.07	0.58	0.62	0.23	0.12	0.48	0.1	NA	0.4	0.01	0.4	0.05	1.1	0.51	0.03	0.04	0.25	0.27	0.01	0.05	0.15	0.05	0.18	0.1	NA	0.16	0.02	0.27	0.21	0.02	0.11	0.24	0.08	0.17	0.03	0.43	0.11	0.15	0.01	0.06	0.41	0.27	0.22	0.09	0.14	0.34	0.02	0.07	0.1	0.32	0.19	0.09	0.12	0.44	0.15	0.01	0.28	0.19	0.3	0.98	0.13	0.74	0.01	NA	0.14	0.18	0.32
3.Forest Footprint	0.08	0.25	0.17	0.12	NA	0.29	0.34	NA	0.89	0.63	0.11	0.19	0.16	0.08	0.14	0.91	0.99	0.26	NA	3.03	0.17	0.44	0.24	0.6	NA	0.26	0.35	0.36	0.45	NA	NA	0.21	1.2	1.23	0.26	0.27	0.99	0.19	0.16	0.18	0.38	0.51	0.68	0.22	0.72	0.09	0.23	0.74	0.77	NA	0.14	0.12	0.24	0.17	0.4	0.26	0.06	NA	0.46	0.42	NA	0.53	0.46	0.12	0.79	0.2	0.1	0.48	0.65	0.24	NA	0.16	0.58	0.45	0.67	0.77	0.1	0.5	0.36	0.14	0.2	0.07	0.01	0.46	0.36	0.42	0.18	0.27	0.17	0.12	0.27	0.14	0.21	0.21	0.09	0.36	2.02	0.25	0.42	0.75	0.14	1.28	1.03	0.31	0.24	0.2	0.38	0.17	0.12	0.21	0.18	0.25	0.15	0.17	0.62	NA	0.14	0.29	0.32	0.17	NA	0.21	0.38	0.18	1.08	0.42	0.26	0.19	NA	0.15	0.08	0.19	0.36	0.83	0.19	0.09	0.78	0.09	0.15	0.15	0.33	0.67	0.25	0.09	0.17	NA	0.27	0.27	0.27	0.21	0.46	0.38	0.91	0.72	0.65	0.09	0.52	0.29	0.17	0.16	0.52	0.52	1.3	0.38	0.04	0.1	0.23	0.24	0.04	0.27	0.14	0.27	0.28	0.34	0.08	0.54	0.16	0.45	0.38	0.67	0.55	0.08	0.12	0.19	NA	0.04	0.33	0.29
4.Carbon Footprint	0.18	0.87	1.14	0.2	NA	1.08	0.89	NA	4.85	4.14	1.25	4.46	6.19	0.26	3.28	2.57	4.43	0.51	NA	0.63	0.67	1.74	2.36	0.91	NA	3.24	2.08	0.12	0.04	NA	NA	0.19	5	3.56	0.08	0.01	2.04	2.32	0.67	0.25	0.47	0.07	1.37	0.26	2.21	1.23	2.94	3.42	2.6	NA	1.47	0.86	1.08	1.02	0.84	3.17	0.03	NA	0.07	1.06	NA	2.71	1.58	2.39	0.43	0.21	0.83	3.28	0.43	2.58	NA	2.61	0.7	0.16	0.09	1.25	0.15	0.6	1.9	0.61	0.64	1.72	1.36	3.22	4.59	2.77	1.09	3.69	1.09	4.59	0.2	0.68	4.17	6.89	0.95	0.09	1.66	2.52	0.51	0.14	2.33	2.15	12.65	2.06	0.07	0.07	2.1	0.1	1.73	0.55	1.99	1.74	1.03	2.09	2.13	NA	0.67	0.17	0.09	1.02	NA	0.16	3.23	1.78	2.84	0.45	0.1	0.21	NA	5.8	0.38	1.44	0.35	0.97	0.67	0.34	2.64	2.15	9.57	3.27	1.46	3.87	0.07	3.34	1.56	NA	0.96	0.37	4.21	0.3	1.66	0.07	5.91	2.82	4.27	0	0.07	2.34	2.22	0.52	3.01	0.67	3.88	4.26	0.81	0.13	0.17	1.54	0.06	0.31	0.88	6.89	1.11	1.92	4.13	0.08	1.92	3.14	6.37	5.9	0.98	1.41	2.13	0.79	NA	0.42	0.24	0.53
5.Fish Footprint	0	0.02	0.01	0.09	NA	0.1	0.01	NA	0.11	0.06	0.01	0.14	0.07	0.02	0.22	0.08	0.12	0.08	NA	0.02	0.01	0.02	0.01	0.04	NA	0.09	0.03	0.03	0	NA	NA	0.08	0.12	0.05	0.02	0.01	0.25	0.08	0.03	0.25	0.1	0.01	0.08	0.14	0.06	0.02	0.14	0.03	0.24	NA	0.17	0.04	0.18	0.04	0.14	0.22	0.01	NA	0	0.62	NA	0.19	0.17	0.82	0.11	0.08	0.02	0.05	0.19	0.08	NA	0.31	0.01	0.05	0.01	0.06	0.01	0	0.02	0.02	0.21	0.12	0.01	0.18	0.07	0.12	0.07	0.33	0.03	0.03	0.05	0.02	0.41	0.09	0.01	0.01	0.11	0.05	0	0.03	0.1	0.16	0.13	0.03	0.02	0.01	0.36	0.03	0.04	0.15	0.55	0.06	0.06	0	0.05	NA	0.06	0.03	0.1	0.72	NA	0	0.16	0.32	0.7	0.03	0.02	0.08	NA	0.4	0.02	0.37	0.73	0.01	0.33	0.23	0.05	0.31	0.19	0.09	0.03	0.19	0.01	0.81	0.23	NA	0.42	0.47	0.08	0.12	0.02	0.15	0.22	0.03	0.05	0.46	0.01	0.08	0.32	0.27	0.14	0.01	0.09	0.07	0.01	0	0.09	0.13	0.02	0.08	0.18	0.11	0.06	0.04	0.01	0.11	0.06	0.08	0.19	0.12	0.05	0	0.09	0.05	NA	0.04	0.01	0.01
6.Total Ecological Footprint	0.79	2.21	2.12	0.93	5.38	3.14	2.23	11.88	9.31	6.06	2.31	6.84	7.49	0.72	4.48	5.09	7.44	1.41	5.77	4.84	2.96	3.12	3.83	3.11	2.86	4.06	3.32	1.21	0.8	2.52	1.21	1.17	8.17	5.65	1.24	1.46	4.36	3.38	1.87	1.03	1.29	0.82	2.84	1.27	3.92	1.95	4.21	5.19	5.51	2.19	2.57	1.53	2.17	2.15	2.07	3.97	0.42	6.86	1.02	2.9	5.87	5.14	2.34	4.73	2.02	1.03	1.58	5.3	1.97	4.38	2.98	3.23	1.89	1.41	1.53	3.07	0.61	1.68	2.92	1.16	1.58	2.79	1.88	5.57	6.22	4.61	1.89	5.02	2.1	5.55	1.03	1.17	5.69	8.13	1.91	1.22	6.29	3.84	1.66	1.21	3.69	5.83	15.82	3.26	0.99	0.81	3.71	1.53	2.08	2.54	3.46	2.89	1.78	6.08	3.78	7.78	1.68	0.87	1.43	2.48	2.94	0.98	5.28	3.58	5.6	1.39	1.56	1.16	4.98	7.52	0.79	2.79	1.91	4.16	2.28	1.1	4.44	3.88	10.8	3.65	2.71	5.69	0.87	4.94	2.45	3.11	2.77	1.49	5.61	1.21	2.7	1.24	7.97	4.06	5.81	1.29	1.24	3.31	3.67	1.32	4.25	2.01	7.25	5.79	1.51	0.91	1.32	2.66	0.48	1.13	2.7	7.92	2.34	3.33	5.47	1.24	2.84	4.94	7.93	8.22	2.91	2.32	3.57	1.65	2.07	1.03	0.99	1.37
